"","text","screen_name","user_id","created_at","favourite_count","retweet_count","location","followers_count","friends_count","account_lang"
"1355","@SeIenaGomezData @selenagomez Hi question can we organize a streaming party with Niallers. They are streaming for H… https://t.co/SB7rP1tXWk","bekindalways_lo",1369484575035039744,"2021-03-10 03:05:41",0,0,"",443,668,NA
"1356","@stevienicks420 @pagetpaget @SherylCrow yes we are going to have a zoom dance party tomorrow and drink white wine s… https://t.co/DlZy9jM0Ql","yeehawminogue",1369484574783283200,"2021-03-10 03:05:41",0,0,"United States",314,300,NA
"1357","RT @StuntQueenAgncy: This is why Bill Clinton said at John Lewis' funeral that the Democratic Party needed more John Lewis and less Stokely…","95LouieG",1369484572006653952,"2021-03-10 03:05:40",0,26,"CA, East Bay ♌️ ♒️ ♋️",698,1746,NA
"1358","RT @NaikRooh: PTI as a party should have taken the lead, it was its mandate which was stolen.

I fully support volunteers who are protestin…","Haani_Hasan",1369484570316439552,"2021-03-10 03:05:40",0,74,"",52,125,NA
"1359","@JRBisMe @MarineTraffic SHIP PARTY! WOOOOO!","iloveredrobot",1369484566533185536,"2021-03-10 03:05:39",1,0,"Atlanta. ITP. 404. ",695,1262,NA
"1360","RT @laughjustlaugh1: @Jim_Jordan Why aren't you concerned about PROUD BOY SUPPORTERS IN THE REPUBLICAN PARTY JIM?
Explain this? https://t.c…","trish80_mc",1369484566445105152,"2021-03-10 03:05:39",0,2,"",327,1958,NA
"1361","@Jess_asli @biggyTW My grandparent died in 2003, I still know their phone number. Then again, I can remember when party lines existed.","DesMoinesghost",1369484566084345856,"2021-03-10 03:05:39",1,0,"Earth",1895,2373,NA
"1362","RT @MariaBonanno9: The whole staff of the Nevada Democratic Party quit after a slate of Democratic socialist candidates won every seat in t…","Nuf_Said2020",1369484562825240576,"2021-03-10 03:05:38",0,1,"At Gamestop or AMC on a Nokia",1008,1458,NA
"1363","RT @tribelaw: In immigration, “as in so many areas, the essential task of restoring America’s competence and compassion—and, thereby, our h…","jeannefisher17",1369484560212365312,"2021-03-10 03:05:37",0,229,"",2621,3874,NA
"1364","@GodmotherComara ""presumption"" does not equal ""fact"" of innocence. #MorrisonRapeCrisis - self-made due to choosing… https://t.co/dlwhJE5HNR","suemulhall",1369484558979141632,"2021-03-10 03:05:37",0,0,"Singapore",138,575,NA
"1365","a party in a panoramic? these fucking gamers, smh ://","endersdream",1369484557746061312,"2021-03-10 03:05:37",0,0,"",478,395,NA
